0,1,2,3,4,5,6,7,8
Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128
Fecha,Hora Local,Magnitud,Profundidad (km),Localización,Origen,Reportado,Latitud,Longitud
2026-04-02,19:57:24,2.1,2,1 km al oeste de Vara Blanca.,Tectónico en falla local.,"Poasito, San Rafael y Escazú.",10.1668,-84.167
2026-04-01,20:09:27,3.2,22,20 km al este de Montezuma,Tectónico por subducción,"Cóbano, Tambor y Paquera",9.6451,-84.8986
2026-03-27,03:49:31,2,6,Matinilla de Santa Ana,Fallamiento local,"Guachipelin, Escazú",9.8879,-84.1656
2026-03-26,11:15:19,5.7,130,30 km al suroeste de Managua,Subducción,"Sardinal, Sámara, Playas del Coco, Santa Cruz, Nicoya, Paquera, Miramar, Esparza, Grecia, San José, Cartago",11.9742,-86.4469
2026-03-25,08:12:18,1.9,2,7 km al sureste de Santa Ana.,Tectónico en falla local,Escazú,9.8704,-84.1689
2026-03-25,13:14:48,2,1,6 km al norte de Zarcero,Fallamiento Local,Parque Nacional Juan Castro Blanco,10.2386,-84.4042
2026-03-25,22:44:57,3.9,43,7 km al noroeste de Quepos,Tectónico por deformación interna de la placa del Coco,Valle Central,9.4624,-84.2197
2026-03-21,03:11:20,4.1,34,5 km al sureste de Parrita,Subduccion,Pacifico Central y Valle Central,9.5017,-84.2904
2026-03-21,14:12:55,2,2,"6 km al noroeste de Zarcero, Parque Nacional Juan Castro Blanco",Fallamiento Local,Parque Nacional Juan Castro Blanco,10.235,-84.3653
2026-03-17,14:25:28,5.1,24,"16 km al WNW de Laurel de Corredores, Puntarenas",Proceso de subducción placa del Coco y microplaca de Panamá,"Ciudad Neilly, Puerto Jiménez, San Vito, Uvita, Golfito, Pérez Zeledón, Turrialba y leve en algunos lugares del valle Central",8.4843,-83.0492
2026-03-14,02:28:27,4.3,25,"30 km al suroeste de Jacó, Puntarenas.",Tectónico por subducción.,"Cóbano, Paquera, Jacó, Grecia y San José.",9.5036,-84.8796
2026-03-12,20:34:42,3.2,9,"12 km al norte de Tilarán (fueron 2 sismos de magnitud, proundidad y ubicación similares, separados por 6.5 segundos).",Tectónico en falla local,"Guatuso, Tierras Morenas y Tilarán",10.5847,-84.969
2026-03-11,10:37:19,5.1,196,19 km al noroeste de Peñas Blancas,Intra Placa Coco,"Playa del Coco, Liberia, Santa Cruz, Carrillo, Nicoya, Grecia, San Ramon, jacó",11.3134,-85.7576
2026-03-09,07:30:19,1.4,1,1.6 km al noreste de Tapesco,Fallamiento local,Reserva Natural Montaña Sagrada,10.2344,-84.3905
2026-03-07,09:21:44,4.6,33,11 km al suroeste de Laurel de Puntarenas.,Tectónico en el punto triple Coco-Nazca-Panamá,"Zona Sur, Chiriquí en Panamá y Pérez Zeledón.",8.3614,-82.9701
2026-03-06,08:56:00,4.3,18,44 km al suroeste de Dominical,Tectónico por subducción,"Palmar Sur, Palmar Norte, Dominical, Puerto Jiménez y Buenos Aires de Puntarenas.",8.9565,-84.1343
2026-02-28,11:11:14,6,7,30 km al noreste de Bocas del Toro,Intraplaca Caribe,"Caribe Sur San Vito, Corredores, Limón, Guapiles, Sarapiquí, Turrialba, Pérez Zeledón, Valle Central",9.3899,-81.9377
2026-02-25,09:58:40,4,45,Golfo de Papagayo,Subducción,"Cartagena, Santa Cruz, Playa Potrero, Sardinal, Brasilito",10.6798,-85.9548
2026-02-24,14:38:27,5,30,"9 km al sur de Puerto Armuelles, Panamá.",Zona de Fracturas de Panamá.,"Zona sur de Costa Rica, David, Panamá, San Isidro de Pérez Zeledón y leve en el Valle Central",8.1964,-82.8787
2026-02-22,01:45:49,2.7,2.5,6.5 km al noreste de Zarcero,Tectónico en falla local,"Ciudad Quesada, Alajuela y Palmares",10.2257,-84.3475
2026-02-19,12:21:38,4,13,3 km al norte de Sixaola,Tectónico por cabalgamiento de la placa de Panamá sobre la placa del Caribe,"Sixaola, Puerto Viejo, Cocles",9.5264,-82.6076
2026-02-19,20:38:21,3.3,31,17 km al noroeste de San Isidro de Pérez Zeledón,Tectónico por subducción,"Cartago, este y sureste de San José.",9.4744,-83.8213
2026-02-18,03:06:33,5,12,3 km al norte de Sixaola,Tectónico por cavalgamiento de la placa de Panamá con la placa del Caribe,"Sixaola, Talamanca, Limón, Turrialba",9.5286,-82.6182
2026-02-18,21:00:07,4.6,65,"72 km al oeste de Rivas, Nicaragua",Tectónico por subducción; deformación interna de la placa del Coco.,"Rivas de Nicaragua, La Cruz, Playas del Coco, Carrillo, Nandayure y Tilarán.",11.3463,-86.4832
2026-02-08,20:09:00,2.8,5,10 km al noreste de Rivas de Pérez Zeledón,Fallamiento local,Rivas de Pérez Zeledón,9.5054,-83.6227
2026-02-07,09:01:14,4.5,18.9,"35 km hacia el Noreste de Tortuguero, Limón.",Fallamiento de rumbo Escarpe de Hess,"Pococí, Rio Frío, Sarapiquí, Guapiles, San José",10.7383,-83.2548
2026-02-01,17:07:20,3.5,21,17 km al suroeste de San Pablo de Leon Cortes,Fallamiento Local,"La Union, Guadalupe,San Pedro, Curridabat, Heredia",9.6065,-841824
2026-02-01,19:01:30,4.7,17,9 km al noreste de Bahia de Drake,Subduccion Placa del Coco por debajo de micro placa de Panama,"Rio Cuarto, Golfito",8.7561,-83.5822
2026-01-30,20:18:51,2.8,5.5,4 km al suroeste de Orosi,Tectónico en falla local,"Orosi, Paraiso y Moravia",9.7735,-83.8787
2026-01-27,16:58:46,3.1,6,"Por debajo del Parque Nacional, San José.",Tectónico en falla local,San José y Heredia,9.9348,-84.071
2026-01-19,17:06:56,4.4,3,"Por debajo del Museo Nacional, San José centro.",Tectónico en falla local,Valle Central,9.9325,-84.0718
2026-01-19,20:07:20,4,32,40 km al oeste de Tamarindo,Tectónico por subducción,Tamarindo y Sardinal de Guanacaste,10.355,-86.2378
2026-01-18,21:48:50,4.5,27,8 km al suroeste de Laurel,Subducción,"Laurel, La cuesta, Alto Conte, Río Frío, Coto Brus, Guapiles",8.397,-82.9673
2026-01-17,12:58:38,4.3,47,Playa Dominical,Subducción,"Valle Central, Pérez Zeledón",9.2687,-83.8893
2026-01-12,02:39:22,4.3,13,13 km al sureste de Orosi.,Tectónico en falla local,"Valle Central, Pérez Zeledón y Turrialba",9.6744,-83.792
2026-01-06,09:19:47,4.1,32,13 km al norte de Quepos,Subducción,"San José, Acosta,Desamparados, Alajuelita, Pavas,Coronado, Heredia, San Rafael, Santo Domingo, Cartago, Oreamuno, Llano Grande, Atenas",9.546,-84.1747
2026-01-04,05:17:28,3.9,41,16 km al suroeste de San Marcos de Tarrazu,Subducción,"San José, Acosta, Santa Ana, Escazú, Alajuelita, Puriscal, Moravia, Cartago, Paraiso, El Guarco, Heredia, Santo Domingo",9.6354,-84.1706
